feature,importance
channel_median_views,0.5562815920659446
channel_avg_views,0.3998165085935394
title_length,0.006048327126085529
description_word_count,0.005199996295880338
duration,0.0047930060247772825
duration_minutes,0.004641807571614454
title_word_count,0.0038603803008639298
description_length,0.0037894240195749354
tags_count,0.0036511967584851165
channel_followers,0.0024034597173261695
is_lyric_video,0.0022318777707428057
duration_category_encoded,0.0018342218817087271
video_type_encoded,0.001574331982135669
has_collaboration,0.0013241172277307371
channel_video_count,0.001042469163046053
is_official_mv,0.0007754697554294384
sentiment_score,0.0003411690222923999
title_sentiment_encoded,0.00020512970171483047
has_tags,0.0001737950729274508
is_live,1.1719948180236784e-05
